trailHeads,Apikuni Falls,Bowman Lake,Brown Pass,Camas Creek,CDT,CMT,Coal Creek,Elizabeth Lake,Fielding Ranger Station,Gable Creek,Granite Park,Goat Haunt Ranger Station,Harrison Creek,HQ Boundary Trail,Iceberg,Jackson Glacier,Kintla Lake,Logging Ranger Station,Pitamakan Pass,RED,Marias Pass Summit,Waterton Lake
Apikuni Falls,0,-1,-1,31,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,4,15,-1,-1,-1,-1,-1,-1
Bowman Lake,-1,0,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,13,-1,-1,-1,-1
Brown Pass,-1,14,0,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,17,-1,-1,-1
Camas Creek,31,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,13,-1,-1,-1,-1
CDT,-1,-1,-1,-1,0,-1,-1,-1,-1,21,18,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CMT,-1,-1,-1,-1,-1,0,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coal Creek,-1,-1,-1,-1,-1,-1,0,-1,17,-1,-1,-1,11,-1,-1,-1,-1,-1,21,-1,-1,-1
Elizabeth Lake,17,-1,-1,-1,-1,-1,-1,0,-1,3,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1
Fielding Ranger Station,-1,-1,-1,-1,-1,-1,17,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1
Gable Creek,-1,-1,-1,-1,21,6,-1,3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Granite Park,-1,-1,-1,-1,18,-1,-1,-1,-1,-1,0,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1
Goat Haunt Ranger Station,-1,-1,8,-1,6,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5
Harrison Creek,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,14,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
HQ Boundary Trail,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,14,0,-1,29,-1,-1,-1,-1,-1,-1
Iceberg,4,-1,-1,-1,-1,-1,-1,10,-1,-1,8,-1,-1,-1,0,17,-1,-1,-1,-1,-1,-1
Jackson Glacier,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,17,0,-1,-1,-1,12,-1,-1
Kintla Lake,-1,13,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
Logging Ranger Station,-1,-13,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Pitamakan Pass,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,18,35,-1
REF,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,18,0,-1,-1
Marias Pass Summit,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,0,-1
Waterton Lake,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
